timestamp,tx,ty,tz
1700283003.4695446,14.376368,-18.45235,12.552744
1700283003.5695446,14.15441,-18.706087,12.571572
1700283003.6695445,13.953866,-18.99592,12.590058
1700283003.7695444,13.744254,-19.35573,12.609418
1700283003.8695445,13.511677,-19.820242,12.630164
1700283003.9695442,13.303382,-20.189749,12.649534
1700283004.069544,13.1092615,-20.762611,12.668732
1700283004.169544,12.986809,-21.433182,12.684288
1700283004.269544,12.876205,-22.06899,12.698773
1700283004.3695438,12.787559,-22.571638,12.710607
1700283004.4695437,12.71007,-23.021673,12.72102
1700283004.5695436,12.627385,-23.388937,12.727976
1700283004.6695435,12.545644,-23.7412,12.734718
1700283004.7695434,12.480754,-24.046875,12.740103
1700283004.8695433,12.435684,-24.308027,12.743904
1700283004.9695432,12.390947,-24.567257,12.747676
1700283005.0695431,12.344757,-24.8349,12.751571
1700283005.169543,12.299035,-25.09983,12.755427
1700283005.269543,12.275889,-25.33417,12.762901
1700283005.3695428,12.286032,-25.498934,12.7743635
1700283005.4695427,12.295374,-25.6612,12.7855015
1700283005.5695426,12.300559,-25.81697,12.795304
1700283005.6695426,12.2909355,-25.990139,12.802586
1700283005.7695425,12.277268,-26.164463,12.808981
1700283005.8695424,12.262601,-26.328981,12.814602
1700283005.9695425,12.247149,-26.497229,12.820242
1700283006.0695422,12.231418,-26.661747,12.82561
1700283006.169542,12.213774,-26.817528,12.830049
1700283006.269542,12.195181,-26.97779,12.834512
1700283006.369542,12.19113,-27.048986,12.837365
1700283006.4695418,12.18443,-27.097803,12.837186
1700283006.5695417,12.17713,-27.146374,12.836876
1700283006.6695416,12.166826,-27.198133,12.836021
1700283006.7695415,12.1557455,-27.251898,12.835053
1700283006.8695414,12.143698,-27.30711,12.8339205
1700283006.9695413,12.074282,-27.368034,12.832549
1700283007.0695412,11.675188,-27.462276,12.830391
1700283007.1695411,11.27912,-27.55708,12.827644
1700283007.269541,10.96176,-27.634226,12.824165
1700283007.369541,10.521499,-27.720488,12.82257
1700283007.4695408,10.118897,-27.7936,12.821631
1700283007.5695407,9.744199,-27.857388,12.821627
1700283007.6695406,9.415803,-27.903572,12.821874
1700283007.7695403,9.096226,-27.947374,12.8220415
1700283007.8695405,8.79763,-27.986843,12.822248
1700283007.9695404,8.518657,-28.021372,12.822424
1700283008.0695405,8.256247,-28.051004,12.822561
1700283008.1695402,7.9978366,-28.005375,12.822851
1700283008.26954,7.7530546,-27.845497,12.825667
1700283008.36954,7.556352,-27.686419,12.828418
1700283008.46954,7.3735676,-27.517563,12.831033
1700283008.5695398,7.206149,-27.33841,12.833454
1700283008.6695397,6.99596,-27.117302,12.834015
1700283008.7695396,6.809307,-26.901043,12.833616
1700283008.8695395,6.6024914,-26.65225,12.832256
1700283008.9695394,6.5998483,-26.483795,12.832273
1700283009.0695393,6.635515,-26.327095,12.832474
1700283009.1695392,6.6932244,-26.162415,12.832358
1700283009.269539,6.7930555,-25.990778,12.831025
1700283009.369539,6.906889,-25.824562,12.829453
1700283009.469539,7.083411,-25.648289,12.828169
1700283009.5695388,7.301429,-25.466097,12.826857
1700283009.6695387,7.5379834,-25.310667,12.825713
1700283009.7695386,7.7912107,-25.150694,12.822751
1700283009.8695383,8.105973,-24.872803,12.818517
1700283009.9695385,8.440267,-24.594666,12.813569
1700283010.0695384,8.793214,-24.312191,12.808255
1700283010.1695385,9.156578,-24.033417,12.802803
1700283010.2695382,9.511053,-23.775032,12.798033
1700283010.369538,9.618274,-23.607067,12.795843
1700283010.469538,9.690425,-23.469234,12.793898
1700283010.569538,9.769905,-23.327843,12.792064
1700283010.6695378,9.853575,-23.20494,12.790648
1700283010.7695377,9.935646,-23.086035,12.789188
1700283010.8695376,10.011869,-22.99411,12.788052
1700283010.9695375,10.081068,-22.901209,12.787485
1700283011.0695374,10.144427,-22.803562,12.787519
1700283011.1695373,10.206661,-22.712172,12.787514
1700283011.2695372,10.23331,-22.59839,12.786212
1700283011.369537,10.254633,-22.487621,12.78485
1700283011.469537,10.271865,-22.378695,12.783684
1700283011.569537,10.286522,-22.290884,12.7827015
1700283011.6695368,10.29642,-22.225729,12.78195
1700283011.7695367,10.299809,-22.185932,12.781481
1700283011.8695366,10.293556,-22.171371,12.781343
1700283011.9695363,10.281095,-22.182251,12.781503
1700283012.0695364,10.263043,-22.21729,12.781945
1700283012.1695364,10.239994,-22.26928,12.782611
1700283012.2695365,10.210565,-22.318436,12.783374
1700283012.3695362,10.181718,-22.390516,12.78427
1700283012.469536,10.156112,-22.483381,12.785222
1700283012.569536,10.136851,-22.564007,12.785866
1700283012.669536,10.124547,-22.613642,12.786031
1700283012.7695358,10.116744,-22.668268,12.786131
1700283012.8695357,10.115755,-22.714943,12.785836
1700283012.9695356,10.117114,-22.763933,12.785523
1700283013.0695355,10.119592,-22.816536,12.785294
1700283013.1695354,10.125635,-22.868898,12.785203
1700283013.2695353,10.134203,-22.92031,12.785239
1700283013.3695352,10.142232,-22.972206,12.785342
1700283013.469535,10.149639,-23.02427,12.785506
1700283013.569535,10.140498,-23.077152,12.785649
1700283013.669535,10.125499,-23.129417,12.78581
1700283013.7695348,10.110323,-23.179417,12.786009
1700283013.8695347,10.0958395,-23.225842,12.786246
1700283013.9695346,10.083907,-23.266987,12.786486
1700283014.0695343,10.076351,-23.302164,12.786703
1700283014.1695344,10.07478,-23.331186,12.78688
1700283014.2695343,10.080159,-23.354063,12.7870035
